abbreviation	convert
a	anh
e	em
ny	người_yêu
y	yêu
iu	yêu
ngta	người_ta
ng ta	người_ta
ko	không
k	không
ntn	như_thế_nào
uh	ừ
uhm	ừ
dt	điện_thoại
đt	điện_thoại
m	mình
khong	không
kh	không
t	tôi
bb	blackberry
sam sung	samsung
ss	samsung
samsungsamsung	samsung
tui	tôi
thui	thôi
buon	buồn
bùn	buồn
hai	hãi
ip	iphone
vc	vãi_cứt
tv	ti_vi
fan	phan
lag	lác
sr	xin_lỗi
xl	xin_lỗi
cty	công_ty
wá	quá
c	cậu
fải	phải
lè	này
nuôn	luôn
nguon	nguồn
nguoi	người
dng	đang
đôngj	động
yếu	yếu
hok	không
hop	hộp
hoy	thôi
kiểu	kiểu
ồh	ồ
fim	phim
qtế	quốc_tế
pmem	phần_mềm
rùi	rồi
rk	rồi
hẳn	hẳn
ngol	ngon
trek	treo
tren	trên
í	ý
thag	thang
anhe	anh em
nhju	nhiêu
thoi	thôi
cung	cũng
tôt	tốt
hong	không
thuoc	thước
bit	biết
soc	sốc
khj	khi
lỗi	lỗi
dõm	dởm
sơ	sợ
bự	to
gét	ghét
thâys	thấy
ngau	ngầu
dđược	được
ngai	ngại
tháy	thấy
sx	sản_xuất
ss	samsung
sp	sản_phẩm
thỉng	thỉnh
nhưg	nhưng
aukey	ok
sag	sang
sxuat	sản_xuất
đung	đúng
kủa	của
dùg	dùng
ngot	ngọt
muot	mượt
bjo	bao_giờ
het	hết
hep	hẹp
hen	hên
ae	anh_em
ad	admin
tg	thời_gian
sô1	Số_1
kái	cái
thoi	thôi
thoy	thôi
từg	từng
xai	sài
vaòtu	vào tù
ngiệm	nghiệm
nhri	nhỉ
bt	bình_thường
đag	đang
ua	ủa
dof	dò
cham	chậm
trc	trước
thik	thích
thic	thích
mjk	mình
hỉu	hiểu
rề	gì
h	giờ
qte	quốc_tế
đx	được
cônv	công_việc
